actor_id,first_name,last_name,last_update,description
132,ADAM,HOPPER,"2006-02-15 04:34:33",NULL
133,RICHARD,PENN,"2006-02-15 04:34:33",NULL
134,GENE,HOPKINS,"2006-02-15 04:34:33",NULL
135,RITA,REYNOLDS,"2006-02-15 04:34:33",NULL
136,ED,MANSFIELD,"2006-02-15 04:34:33",NULL
137,MORGAN,WILLIAMS,"2006-02-15 04:34:33",NULL
138,LUCILLE,DEE,"2006-02-15 04:34:33",NULL
139,EWAN,GOODING,"2006-02-15 04:34:33",NULL
140,WHOOPI,HURT,"2006-02-15 04:34:33",NULL
141,CATE,HARRIS,"2006-02-15 04:34:33",NULL
142,JADA,RYDER,"2006-02-15 04:34:33",NULL
143,RIVER,DEAN,"2006-02-15 04:34:33",NULL
144,ANGELA,WITHERSPOON,"2006-02-15 04:34:33",NULL
145,KIM,ALLEN,"2006-02-15 04:34:33",NULL
146,ALBERT,JOHANSSON,"2006-02-15 04:34:33",NULL
147,FAY,WINSLET,"2006-02-15 04:34:33",NULL
148,EMILY,DEE,"2006-02-15 04:34:33",NULL
149,RUSSELL,TEMPLE,"2006-02-15 04:34:33",NULL
150,JAYNE,NOLTE,"2006-02-15 04:34:33",NULL
151,GEOFFREY,HESTON,"2006-02-15 04:34:33",NULL
152,BEN,HARRIS,"2006-02-15 04:34:33",NULL
153,MINNIE,KILMER,"2006-02-15 04:34:33",NULL
154,MERYL,GIBSON,"2006-02-15 04:34:33",NULL
155,IAN,TANDY,"2006-02-15 04:34:33",NULL
156,FAY,WOOD,"2006-02-15 04:34:33",NULL
157,GRETA,MALDEN,"2006-02-15 04:34:33",NULL
158,VIVIEN,BASINGER,"2006-02-15 04:34:33",NULL
159,LAURA,BRODY,"2006-02-15 04:34:33",NULL
160,CHRIS,DEPP,"2006-02-15 04:34:33",NULL
161,HARVEY,HOPE,"2006-02-15 04:34:33",NULL
162,OPRAH,KILMER,"2006-02-15 04:34:33",NULL
163,CHRISTOPHER,WEST,"2006-02-15 04:34:33",NULL
164,HUMPHREY,WILLIS,"2006-02-15 04:34:33",NULL
165,AL,GARLAND,"2006-02-15 04:34:33",NULL
166,NICK,DEGENERES,"2006-02-15 04:34:33",NULL
167,LAURENCE,BULLOCK,"2006-02-15 04:34:33",NULL
168,WILL,WILSON,"2006-02-15 04:34:33",NULL
169,KENNETH,HOFFMAN,"2006-02-15 04:34:33",NULL
170,MENA,HOPPER,"2006-02-15 04:34:33",NULL
171,OLYMPIA,PFEIFFER,"2006-02-15 04:34:33",NULL
172,GROUCHO,WILLIAMS,"2018-10-04 20:18:20",NULL
173,ALAN,DREYFUSS,"2006-02-15 04:34:33",NULL
174,MICHAEL,BENING,"2006-02-15 04:34:33",NULL
175,WILLIAM,HACKMAN,"2006-02-15 04:34:33",NULL
176,JON,CHASE,"2006-02-15 04:34:33",NULL
177,GENE,MCKELLEN,"2006-02-15 04:34:33",NULL
178,LISA,MONROE,"2006-02-15 04:34:33",NULL
179,ED,GUINESS,"2006-02-15 04:34:33",NULL
180,JEFF,SILVERSTONE,"2006-02-15 04:34:33",NULL
181,MATTHEW,CARREY,"2006-02-15 04:34:33",NULL
182,DEBBIE,AKROYD,"2006-02-15 04:34:33",NULL
183,RUSSELL,CLOSE,"2006-02-15 04:34:33",NULL
184,HUMPHREY,GARLAND,"2006-02-15 04:34:33",NULL
185,MICHAEL,BOLGER,"2006-02-15 04:34:33",NULL
186,JULIA,ZELLWEGER,"2006-02-15 04:34:33",NULL
187,RENEE,BALL,"2006-02-15 04:34:33",NULL
188,ROCK,DUKAKIS,"2006-02-15 04:34:33",NULL
189,CUBA,BIRCH,"2006-02-15 04:34:33",NULL
190,AUDREY,BAILEY,"2006-02-15 04:34:33",NULL
191,GREGORY,GOODING,"2006-02-15 04:34:33",NULL
192,JOHN,SUVARI,"2006-02-15 04:34:33",NULL
193,BURT,TEMPLE,"2006-02-15 04:34:33",NULL
194,MERYL,ALLEN,"2006-02-15 04:34:33",NULL
195,JAYNE,SILVERSTONE,"2006-02-15 04:34:33",NULL
196,BELA,WALKEN,"2006-02-15 04:34:33",NULL
197,REESE,WEST,"2006-02-15 04:34:33",NULL
198,MARY,KEITEL,"2006-02-15 04:34:33",NULL
199,JULIA,FAWCETT,"2006-02-15 04:34:33",NULL
200,THORA,TEMPLE,"2006-02-15 04:34:33",NULL
